	SCR_0pt5mM_A	SCR_0pt5mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B
ENSMUSG00000041035.9|Gm17018	3.08668155314775	3.25416865809871	4.01999531390613	4.08584135894559
ENSMUSG00000041037.8|Irgq	4.0455674559353	4.14946876295741	4.73152524000819	4.51070592453484
ENSMUSG00000041040.12|Fam117b	5.46801996576541	5.47971683365196	6.0140077035324	5.87470040736608
ENSMUSG00000041046.7|Ramp3	2.68814218244972	2.31792142645704	2.8924756852079	3.02897210958045
ENSMUSG00000041057.10|Wdr43	8.50472598373323	8.64770037402612	6.79144722669444	6.73723423117334
ENSMUSG00000041058.15|Wwp1	5.25233210181947	5.44632806704359	5.3357048036697	5.20144024217484
ENSMUSG00000041064.13|Pif1	3.10800378255655	3.09509774127546	2.32963414172074	1.94314460768729
ENSMUSG00000041075.8|Fzd7	4.92916854228293	5.01867239596548	5.74643856485077	5.76374419042341
ENSMUSG00000041079.12|Rwdd2b	2.91571688953122	3.16720344628919	3.44438895165079	3.12176533228977
ENSMUSG00000041084.8|Ostc	6.61442286613254	6.51389411245975	6.91146537418185	6.95120998191641
ENSMUSG00000041096.13|Tspyl2	4.82440761577296	4.88424002956006	5.58867294261121	5.76188419444623
ENSMUSG00000041112.17|Elmo1	4.83775270839646	4.73235569134086	4.73916013939461	4.59297329558351
ENSMUSG00000041115.16|Iqsec2	3.4357618508574	3.23563130069046	4.50485891962565	4.4438803136975
ENSMUSG00000041119.12|Pde9a	4.4124001057761	4.31063187681254	5.74209406938393	5.82262959631065
ENSMUSG00000041120.6|Nbl1	6.29999720552578	6.30267029700789	7.10066982792994	7.22913701893289
ENSMUSG00000041124.11|Msantd4	6.23226418779628	6.2936821188414	6.65696752023719	6.63841571758323
ENSMUSG00000041126.16|H2afv	5.22952087360532	5.2671267230299	5.95916266047351	6.0724994976353
ENSMUSG00000041130.10|Zfp598	7.59466821995235	7.48405416888406	6.67715567691497	6.8006257013279
ENSMUSG00000041132.11|N4bp2l1	1.18606561009476	1.02128716165221	0.847158595600039	1.18310920158668
ENSMUSG00000041133.11|Smc1a	7.18487297956941	7.1671665748054	7.18959757710382	7.05672537790193
ENSMUSG00000041135.15|Ripk2	3.58165985747603	3.54101574444351	3.26600644833249	3.0361421573906
ENSMUSG00000041143.16|Tmco4	3.89095082801727	3.54101574444351	3.09509774127546	2.91571688953122
ENSMUSG00000041144.10|Dnah7b	3.21591208207617	3.26600644833249	3.23563130069046	3.25239193647514
ENSMUSG00000041147.10|Brca2	5.21601972467165	5.35415510816856	4.42946366300088	4.32528885782251
ENSMUSG00000041153.9|Osgin2	3.39310070777575	3.67632137618855	2.11308963825799	2.1875082460513
ENSMUSG00000041161.8|Otud3	2.90616456689896	3.01665681997151	2.69014593071575	2.40790809951673
ENSMUSG00000041164.15|Zmiz2	5.21934732963865	5.16304247126228	5.78376012467774	5.84913031208491
ENSMUSG00000041168.10|Lonp1	9.09805324524844	8.98288988197907	7.86617267450319	7.93148905228115
ENSMUSG00000041180.13|Hectd2	1.58137180833924	1.43729385486146	0.305608500571638	0.924948440236802
ENSMUSG00000041187.16|Prkd2	3.90691328093373	3.83416831026155	4.28164968097723	4.41886731844144
ENSMUSG00000041189.9|Chrnb1	5.69735252289971	5.73571085996325	4.07621939003646	4.05530246866725
ENSMUSG00000041199.3|Rpusd1	4.4229930783368	4.28835398970108	4.52343033254577	4.54602001508053
ENSMUSG00000041203.9|Trir	5.42350678868515	5.79565875314424	5.26024872765785	5.31848501905966
ENSMUSG00000041215.16|Yeats2	5.62779708664072	5.68208672377537	5.89898305126218	5.93487088950178
ENSMUSG00000041219.14|Arhgap11a	6.74711677304042	6.74536223403371	6.58100879215449	6.40758453322124
ENSMUSG00000041220.10|Elovl6	4.73039690208156	4.81261747967266	5.25307587295338	5.16446788577738
ENSMUSG00000041225.16|Arhgap12	7.05889499080282	7.17413405572955	6.92622849346009	6.90093039639982
ENSMUSG00000041229.15|Phf8	4.46769906947468	4.39545359597329	4.66289322087935	4.43246555292695
ENSMUSG00000041231.15|Ublcp1	5.72971048211604	5.63236715068096	4.990055116556	4.97397703563967
ENSMUSG00000041235.12|Chd7	3.81349052662964	3.71872384250949	2.83151483049783	2.8223295965178
ENSMUSG00000041236.8|Vps41	5.99637971721744	6.12095644866772	6.88069208968187	6.80571698301469
ENSMUSG00000041237.12|Pklr	5.01349103716267	4.99140047048417	6.27435217202285	6.27660436863035
ENSMUSG00000041238.16|Rbbp8	6.14624017370138	6.2626435566874	5.1048157471382	5.21896517588922
ENSMUSG00000041241.12|Mul1	4.23379151620361	4.189022601624	4.57189225880359	4.65883887324183
ENSMUSG00000041258.18|Zfp236	5.66835359670359	5.6703620345205	5.43628415097684	5.37382281187939
ENSMUSG00000041261.9|Car8	1.92432352855753	2.29420285855328	2.05151300582913	2.34896283725077
ENSMUSG00000041263.14|Rusc1	3.87459653085964	3.81349052662964	5.59678190101722	5.76374419042341
ENSMUSG00000041264.16|Uspl1	5.10079362777784	5.2297135412306	5.47500183742486	5.49827945821851
ENSMUSG00000041272.11|Tox	1.51671455891452	1.54167133062874	2.65605836516652	2.48445308317153
ENSMUSG00000041278.10|Ttc1	5.41095629136849	5.46042158792197	5.36347882634242	5.43529441930424
ENSMUSG00000041293.5|Adgrf1	-1.87802453313056	-2.92947168239676	2.64342504558586	2.41891533676659
ENSMUSG00000041297.8|Cdk13	6.12835660518555	6.17565071782457	6.01480711876111	5.91058934569496
ENSMUSG00000041298.15|Katnal1	4.55500673311095	4.5583854524076	4.14617580511901	3.96398621274174
